97	B6	nextdenovo	polished	busco
96.1	nv107	nextdenovo	polished	busco
97.3	nv109	nextdenovo	polished	busco
96.9	nv115	nextdenovo	polished	busco
0.1	ORE	nextdenovo	polished	busco
94	SRR23269563_ONT	nextdenovo	polished	busco
94.2	SRR23269564_ONT	nextdenovo	polished	busco
92.9	SRR23269565_ONT	nextdenovo	polished	busco
94.4	SRR23269571_ONT	nextdenovo	polished	busco
93.8	SRR23269572_ONT	nextdenovo	polished	busco
93.4	SRR23269573_ONT	nextdenovo	polished	busco
94.8	SRR23269574_ONT	nextdenovo	polished	busco
43.4	A1	nextdenovo-30	nextpolish	busco
42.9	A1	nextdenovo-30	racon	busco
97.6	A2	nextdenovo-30	nextpolish	busco
96.5	A2	nextdenovo-30	racon	busco
95.6	A3	nextdenovo-30	nextpolish	busco
93.8	A3	nextdenovo-30	racon	busco
92.3	A4	nextdenovo-30	nextpolish	busco
89.7	A4	nextdenovo-30	racon	busco
77.7	A5	nextdenovo-30	nextpolish	busco
76.8	A5	nextdenovo-30	racon	busco
95.6	A6	nextdenovo-30	nextpolish	busco
93.7	A6	nextdenovo-30	racon	busco
9.5	A7	nextdenovo-30	nextpolish	busco
9.4	A7	nextdenovo-30	racon	busco
2.3	B2	nextdenovo-30	nextpolish	busco
2.3	B2	nextdenovo-30	racon	busco
97.7	B3	nextdenovo-30	nextpolish	busco
95.9	B3	nextdenovo-30	racon	busco
89.5	B4	nextdenovo-30	nextpolish	busco
88	B4	nextdenovo-30	racon	busco
47.2	B6	nextdenovo-30	nextpolish	busco
46.9	B6	nextdenovo-30	racon	busco
95.8	nv107	nextdenovo-30	racon	busco
97	nv109	nextdenovo-30	racon	busco
96.6	nv115	nextdenovo-30	racon	busco
94	SRR23269563_ONT	nextdenovo-30	nextpolish	busco
94.3	SRR23269563_ONT	nextdenovo-30	racon	busco
94.3	SRR23269564_ONT	nextdenovo-30	nextpolish	busco
94	SRR23269564_ONT	nextdenovo-30	racon	busco
92.7	SRR23269565_ONT	nextdenovo-30	nextpolish	busco
92.7	SRR23269565_ONT	nextdenovo-30	racon	busco
94.2	SRR23269571_ONT	nextdenovo-30	nextpolish	busco
93.1	SRR23269571_ONT	nextdenovo-30	racon	busco
93.9	SRR23269572_ONT	nextdenovo-30	nextpolish	busco
93.5	SRR23269572_ONT	nextdenovo-30	racon	busco
93.5	SRR23269573_ONT	nextdenovo-30	nextpolish	busco
94	SRR23269573_ONT	nextdenovo-30	racon	busco
95	SRR23269574_ONT	nextdenovo-30	nextpolish	busco
94.6	SRR23269574_ONT	nextdenovo-30	racon	busco
